Node,Fx,Fy,Fz,Mx,My,Mz
1,0.04096511599943664,124.91293160242489,0.05367295269744066,-3672.425850526469,66.6647922825339,5467.91234954276
2,2.161336545740758,173.3983401066274,-0.8960985117666862,-721.5881260568985,6.655371563785902,647.0888316594705
3,2.290685883914527,111.58357260511158,-0.7039918421143296,580.1989627679318,-39.206843514104754,-1214.4831718278651
24,-0.4484897654169071,256.59410746883515,0.8759160548533766,-2054.3920146628266,-31.605034508264314,5001.872234576871
25,2.0118045995817235,368.70501802246116,-0.3091859716666161,2591.2219044839762,51.4571766470252,-259.53287720476146
26,6.95630940760433,426.2440469037986,-2.1338812032695245,-3629.462821854371,869.4046774529139,-16579.737314600323
27,31.02879209199716,122.79644161550183,-2.396925833331288,-3829.6608722043247,307.2121673517138,-22899.02388930538
46,-3.3636100050940883,136.2832686473971,0.14446697353509588,-3117.2115518354926,246.93025257853506,747.4198494175926
47,-4.353210562570874,366.7735312765184,8.117201038395184,14859.053632809411,77.64347234840022,643.570522408535
62,-2.6465235716797526,21.381308850700222,1.3267644753809886,1927.5940131190805,34.190000691525306,4138.384931278557
63,-33.678059741277266,139.75273855609376,-4.077938132194632,-6023.243054496105,-329.8576781816572,15015.025435959364
