Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
26,Node_I,73.325027,0.134581,0.012499,0.586442,2.372132,5.422873,Node_J,-73.325027,-0.134581,-0.012499,-0.586442,-3.799188,9.942711
27,Node_I,89.153397,-1.367309,-0.39662,11.412001,5.576409,-29.598356,Node_J,-89.153397,1.367309,0.39662,-11.412001,39.706932,-126.511787
28,Node_I,19.456118,-6.213177,-0.530608,3.632545,3.131687,-62.553627,Node_J,-19.456118,6.213177,0.530608,-3.632545,57.44949,-646.82489
29,Node_I,27.03953,0.308881,-0.08847,1.714557,0.501161,17.850332,Node_J,-27.03953,-0.308881,0.08847,-1.714557,9.599755,17.415592
30,Node_I,74.87838,0.24926,1.948203,1.34905,4.423534,5.791569,Node_J,-74.87838,-0.24926,-1.948203,-1.34905,-226.856125,22.667246
31,Node_I,3.541344,0.726899,0.180563,1.712869,0.541359,2.952613,Node_J,-3.541344,-0.726899,-0.180563,-1.712869,-21.156805,80.039841
32,Node_I,24.201859,6.947878,-0.763753,-0.932076,-0.103028,-83.983032,Node_J,-24.201859,-6.947878,0.763753,0.932076,87.30323,877.24469
33,Node_I,0.002217,-0.16994,0.06437,0.124971,-6.294647,-17.113161,Node_J,-0.002217,0.16994,-0.06437,-0.124971,-5.869739,-15.001395
34,Node_I,0.240027,-0.22722,0.012764,3.45657,-1.127091,-27.734962,Node_J,-0.240027,0.22722,-0.012764,-3.45657,-1.988413,-27.728258
35,Node_I,-0.020611,-0.138465,-0.050548,0.849646,4.470962,-15.001817,Node_J,0.020611,0.138465,0.050548,-0.849646,4.484364,-9.529392
36,Node_I,-0.098936,-0.264093,-0.162161,-1.416946,11.583093,-18.43891,Node_J,0.098936,0.264093,0.162161,1.416946,11.719504,-19.511419
37,Node_I,0.470831,0.239979,-0.040872,-1.91968,2.897526,21.764769,Node_J,-0.470831,-0.239979,0.040872,1.91968,4.343614,20.751114
38,Node_I,0.609844,-0.026485,0.021201,-17.281319,-2.874553,-3.991745,Node_J,-0.609844,0.026485,-0.021201,17.281319,-2.300485,-2.47315
39,Node_I,0.840891,1.477953,-0.035177,-2.420413,3.381846,190.858063,Node_J,-0.840891,-1.477953,0.035177,2.420413,2.850287,70.984062
40,Node_I,0.814672,-1.737298,0.192664,39.605106,-6.988271,-86.827179,Node_J,-0.814672,1.737298,-0.192664,-39.605106,-8.182149,-49.967964
41,Node_I,1.107725,0.152478,-0.069364,0.963772,3.980865,1.736439,Node_J,-1.107725,-0.152478,0.069364,-0.963772,5.986777,20.174706
42,Node_I,0.085037,0.063179,-0.600902,31.262381,26.180042,-11.491894,Node_J,-0.085037,-0.063179,0.600902,-31.262381,29.415188,17.337231
43,Node_I,0.013912,1.811555,0.474336,-0.586733,-22.178885,70.097214,Node_J,-0.013912,-1.811555,-0.474336,0.586733,-18.905298,86.809135
44,Node_I,-0.280302,-1.630217,0.0638,-1.971354,-1.009585,-88.284767,Node_J,0.280302,1.630217,-0.0638,1.971354,-5.521138,-78.58783
45,Node_I,0.782221,1.981037,0.332754,6.825016,-17.965763,87.377373,Node_J,-0.782221,-1.981037,-0.332754,-6.825016,-10.855486,84.208481
46,Node_I,0.410535,0.10201,-0.294213,1.463572,19.914883,-1.426367,Node_J,-0.410535,-0.10201,0.294213,-1.463572,22.363819,16.085323
47,Node_I,0.373227,0.077514,-0.087773,-30.06621,9.895019,-18.499281,Node_J,-0.373227,-0.077514,0.087773,30.06621,10.838778,36.809635
48,Node_I,7.342672,11.948461,0.130666,39.310261,-17.639095,938.578369,Node_J,-7.342672,-11.948461,-0.130666,-39.310261,-5.098898,1140.641968
