Node,ui,vi,wi,θxi,θyi,θzi
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04525940698737816,-0.07840809181564527,0.0720935048722686,9.893314162093191e-05,-5.003868932932241e-06,-6.06888397450815e-05
5,-0.04919382156851667,-0.10979046984183305,0.21693226472092075,0.0002423541439653068,-4.995531503947127e-07,4.749685147295636e-05
6,-0.09432519648626062,-0.06967784135240343,0.18827871028550197,0.0002142014979076176,2.942871334348479e-06,0.00010658909333808764
7,0.39798998965517157,-0.22060916234914862,0.6904039588552968,0.000337985292117012,-1.467801553660124e-05,-0.00018385555338811292
8,0.02823478941906619,-0.31266413789263275,0.6965687154619262,-8.68305823113146e-05,-1.4653559078244907e-06,-0.00016853064833368244
9,-0.3330735192510049,-0.19500042765697256,0.700849562640064,1.607934711556431e-06,8.632422580755537e-06,-1.3617564286837624e-05
10,0.7011183304242097,-0.3176214279759729,1.0508184773949611,0.0002769070908019156,-6.893779027172562e-05,-0.00011582447376808166
11,0.28828682924234045,-0.4519101055070875,1.0498977842601258,-1.0656266884362054e-05,-6.432194715708803e-05,-0.00016071944692065118
12,-0.1632557121809003,-0.2896646810666437,1.0493422248104667,0.0002116692402768085,-6.371426534189149e-05,-0.00020413595293693496
13,0.8762104025534629,-0.37800870111794455,1.462605095552157,0.00029283971886605016,-0.00014799322630648372,-0.00016808235726092826
14,0.6332063359602416,-0.5364644997821715,1.460096416421855,-0.00010230051396274508,-3.840264382332215e-05,-0.0002726710102499031
15,0.5987454326388437,-0.3473085053535177,1.4610101712008912,8.300025229633921e-05,-0.00011272308829719249,-0.0004435986459242308
16,0.03246916341603175,-0.8361102961363839,0.3005326165933952,0.0001538071963004391,9.350959621996633e-05,-6.228314760753824e-05
17,-0.33254588975096483,-0.4431894374430126,0.29730950376015497,-0.0004064204633432581,0.00016563052079636445,-5.9982863400552865e-05
18,-0.16530197244876935,-0.9307326217084078,1.000803895199985,0.0021900251891044456,-2.8057513621546284e-05,-6.860045174511351e-05
19,-0.4752939774555493,-7.038794214945823,1.000198763756141,0.0028064742166535863,-0.00010951811237912318,-2.112026002286224e-05
20,0.5961451610294306,-1.326846698851491,1.983567323887085,0.0006993669418073904,-7.101467124420343e-05,-0.00012252867564967637
21,0.8027333385036708,-3.8604603525059242,1.9851270212774539,0.0013084062899753918,6.4514474677737715e-06,-0.00043805417695265506
22,-0.3331301760499955,-0.4853406487070531,0.0924466716527286,-0.0005893483352013531,7.677884571247982e-06,-0.00011417996366407595
23,-0.8101308959259199,1.2071629013469232,0.08922242297922608,-0.0006541076860110867,-0.00011045595903733178,-0.0010590929305179602
